sentence	Noun phrases	Verb phrases	n(NP)	n(VP)
яка площа Мексики	яка площа, Мексики		2	0
яка площа території Португалії	яка площа території, Португалії		2	0
яка територія Гвінеї	яка територія, Гвінеї		2	0
який розмір Гвінеї	який розмір, Гвінеї		2	0
яка столиця Мексики	яка столиця, Мексики		2	0
яке місто є столиця Мексики	яке місто, столиця Мексики	є	2	1
яка офіційна мова Австралії	яка офіційна мова, Австралії		2	0
яка мова визнана в Мексиці офіційною?	яка мова, Мексиці		2	0
яка форма правління Мексики	яка форма правління, Мексики		2	0
хто є президентом України	президентом України	є	1	1
хто польский президент?	польский президент		1	0
коли відбулося хрещення Гвінеї	хрещення Гвінеї	коли відбулося	1	1
у якому році відбулось хрещення Гвінеї	якому році, хрещення Гвінеї	відбулось	2	1
яка чисельність населення Гвінеї	яка чисельність населення, Гвінеї		2	0
скільки людей проживає в України	людей, України	проживає	2	1
яка густота населення Австралії	яка густота населення, Австралії		2	0
який ВВП на душу населення у Гвінеї	який ВВП, душу населення, Гвінеї		3	0
який повний ВВП Ботсвани	який повний ВВП, Ботсвани		2	0
яка валюта Ботсвани	яка валюта, Ботсвани		2	0
як називається валюта, яку використовують у Португалії	валюта, Португалії	називається, використовують	2	2
який часовий пояс Мексики	який часовий пояс, Мексики		2	0
який домен України	який домен, України		2	0
який телефонний код Ботсвани	який телефонний код, Ботсвани		2	0
які офіційні мови Гвінеї	які офіційні мови, Гвінеї		2	0
чи належить німецька до офіційних мов Австралії	офіційних мов, Австралії	належить	2	1
столицею якої країни є Тегусігальпа	столицею, якої країни, Тегусігальпа	є	3	1
в якому регіоні розміщена Вінниця	якому регіоні, розміщена Вінниця		2	0
який девіз Вінниці	який девіз, Вінниці		2	0
коли було засновано Вінницю	Вінницю	коли було засновано	1	1
у якому столітті було засновано Париж	якому столітті, Париж	було засновано	2	1
яке населення Сакраменто	яке населення, Сакраменто		2	0
скільки людей живе у Пекіні	людей, Пекіні	живе	2	1
скільки людей мешкає у Римі	людей, Римі	мешкає	2	1
скільки людей проживає в агломерації Пекіну?	людей, агломерації Пекіну	проживає	2	1
яка площа Вінниці	яка площа, Вінниці		2	0
який розмір Сакраменто	який розмір, Сакраменто		2	0
яка площа території Сакраменто	яка площа території, Сакраменто		2	0
яка густота населення Монтевідео	яка густота населення, Монтевідео		2	0
які поштові індекси Риму	які поштові індекси, Риму		2	0
який телефонний код Монтевідео	який телефонний код, Монтевідео		2	0
який часовий пояс Вінниці	який часовий пояс, Вінниці		2	0
які номери автомобілів Вінниці	які номери автомобілів, Вінниці		2	0
які водойми є у Пекіні	які водойми, Пекіні	є	2	1
скільки районів є у Монтевідео	скільки районів, Монтевідео	є	2	1
який поділ міста Тегусігальпа	який поділ міста, Тегусігальпа		2	0
які міста-побратими є у Пекіна	які міста, побратими, Пекіна	є	3	1
хто є мером Парижа	мером Парижа	є	1	1
як звуть мера Пекіна	мера Пекіна	звуть	1	1
яка веб-сторінка Тегусігальпа	яка веб, сторінка Тегусігальпа		2	0
де розташоване Китайське море?	Китайське море		1	0
в якій частині світу розташоване Середземне море?	якій частині світу, Середземне море		2	0
яка довжина Чорного моря?	яка довжина, Чорного моря		2	0
наскільки довге Арабське море?	довге, Арабське море		2	0
яка площа Жовтого моря?	яка площа, Жовтого моря		2	0
яку територію займає Жовте море?	яку територію, Жовте море	займає	2	1
яка найбільша глибина Жовтого моря?	яка найбільша глибина, Жовтого моря		2	0
наскільки глибоке Середземне море?	Середземне море		1	0
яка глибина найглибшої точки Китайського моря?	яка глибина, найглибшої точки, Китайського моря		3	0
як глибоко знайходиться найглибша точка Чорного моря?	найглибша точка, Чорного моря	глибоко знайходиться	2	1
яка середня глибина Середземного моря?	яка середня глибина, Середземного моря		2	0
який об'єм Арабського моря?	який об'єм, Арабського моря		2	0
який об'єм займає Жовте море?	який об'єм, Жовте море	займає	2	1
яка ширина Середземного моря?	яка ширина, Середземного моря		2	0
наскільки широке Китайське море?	широке, Китайське море		2	0
звідки витікає Дніпро	Дніпро	звідки витікає	1	1
де розміщений витік Рейну	розміщений витік, Рейну		2	0
які координати витоку Меконга	які координати витоку, Меконга		2	0
яка широта витоку Рейну	яка широта витоку, Рейну		2	0
яка довгота витоку Рони	яка довгота витоку Рони		1	0
яка висота витоку Меконга	яка висота витоку, Меконга		2	0
що є гирлом Амазонки	гирлом Амазонки	є	1	1
де знаходиться гирло Дніпра	гирло Дніпра	де знаходиться	1	1
які координати гирла Конго	які координати гирла, Конго		2	0
яка широта гирла Хуанхе	яка широта гирла, Хуанхе		2	0
яка довгота гирла Рейну	яка довгота гирла, Рейну		2	0
яка площа басейну Рейну	яка площа, басейну Рейну		2	0
яку територію займає басейн Меконга	яку територію, басейн Меконга	займає	2	1
скільки квадратних кілометрів займає басейн Конго	квадратних кілометрів, басейн Конго	займає	2	1
що є басейном Рони	басейном Рони	є	1	1
яке море є басейном Дніпра	яке море, басейном Дніпра	є	2	1
